energy,pretty_formula
-18.41957373,NbC
-29.73774294,Hf
-19.296982,NbN
-11.90018356,NiN
-12.85190697,NiN
-4.91274097,RbTe
-9.86021997,O2
-4.60022292,RbTe
-22.23928411,NpN
-23.04803526,NpN
-16.4422603,OsN
-18.20683745,OsN
-17.80155065,EuZnGe
-11.42495427,PdC
-17.51445521,OsC
-11.97701367,PdC
-17.66836182,OsC
-19.02106817,OsC
-7.9307325,CsRbN
-16.49582427,DyBiPd
-7.31789613,CsRbP
-21.10070213,PaN
-6.98181894,CsRbAs
-11.24450778,PdN
-8.66787592,PbS
-21.67391781,CrO2
-17.97564686,CrSe2
-12.80059532,NiC
-11.58713548,PrAs
-20.8653413,CrFeTe
-19.6429292,CrCoTe
-9.49661182,Pr
-10.48272486,PdN
-84.57106136,Na3Sr3GaP4
-10.87799791,PdN
-15.4453916,PrN
-14.16524869,PrN
-13.9899285,CoTe2
-19.46150513,ReN
-12.15448219,PtC
-14.96939554,PrN
-4.11142792,RbSb
-3.12417753,CaHg2
-14.38927388,RhC
-19.83507114,CaC2
-12.63911144,CaGe2
-18.22004541,CaC2
-20.17877646,CaN2
-20.18806817,ReC
-14.39457498,RhC
-18.67263886,ReN
-15.77909988,CaB2
-15.45850449,RhC
-79.51249561,Na3Sr3GaAs4
-20.18132049,ReC
-13.77198892,RhN
-9.8723954,Ca2Sn
-19.45577948,ReC
-13.52089619,RhN
-10.77004514,Ca2Si
-14.66991565,RhN
-21.18706907,ReC
-13.66318267,ScP
-9.5181318,ScSn
-14.76055261,ScC
-17.88608433,ScN
-14.60913644,ScC
-10.77403954,ScSi
-10.44948539,ScGe
-10.42806428,Ca2Ge
-9.26821623,Ca2Pb
-6.66665059,Se
-7.70847848,AgN
-7.71830929,AgN
-15.74981538,RuN
-17.0742683,RuN
-14.78506108,ScC
-16.68046108,RuC
-17.59063069,RuC
-33.75208932,YGeAu
-9.13531739,SiSn
-11.52294365,SmAs
-21.41488986,TaC
-22.97033137,CN2
-11.27390354,SrO
-11.60291972,SnC
-10.64687753,SnC
-16.73867444,BeB2
-19.15828869,TaCo
-12.41282238,BaSi2
-14.81057617,BaSiC
-12.19296339,Be2Si
-7.89651305,Be2Zn
-20.91187029,TaN
-21.19780505,TaC
-21.55128525,TaN
-18.82316196,Al2Ru
-20.17881492,TaC
-18.48510256,ZrN
-18.28752094,TcC
-19.50357357,ZrN
-9.16133281,TbAl
-18.47283333,TcC
-18.2852278,TcC
-16.94508736,ZrC
-19.60345649,ZrN
-18.16086269,ZrC
-8.86382689,Ir
-37.22505932,MnB4
-1.46140279,Br
-16.40913181,CrCo
-41.46585545,CsAgC2
-4.06414176,Cu
-11.36550587,DyAs
-20.96658026,KAgC2
-103.14855885,LiYbAlF6
-42.0835838,UTeAs
-22.98838429,Ca2As
-20.07725832,NpP
-19.79901138,NpS
-7.66752745,MgNi
-13.85758262,SiRh
-10.10118798,PrBi
-48.6895386,LaB2Ir3
-82.66878989,EuFeO3
-42.82067892,ScBIr3
-16.94455935,CeSe2
-17.29169539,CeSe2
-16.00880495,CeSe2
-34.36617244,CeSe2
-128.48890546,ScB4Ir3
-51.51757248,ThB2Ir3
-54.23003747,UB2Ir3
-8.43112978,Cs2Se
-33.47228122,Cs2Se
-14.99974487,Cs2Se
-169.46001928,Mg3(Ni10B3)2
-33.47893253,Cs2Se
-30.19813867,Cs2Se
-57.01385212,Mn3B4
-312.45914365,Na2CoP2O7
-311.58958414,Na2CoP2O7
-312.90363533,Na2CoP2O7
-29.76697193,NdBPd3
-495.16218081,V2NiO6
-3.40023833,Cs
-177.30458346,Ni21(B3Sb)2
-243.0827371,Tb(Ni2B)6
-17.60325643,PbS
-26.75291928,SbIr
-50.49578944,BaBrCl
-139.46912541,V5SiB2
-61.90826287,CrFeCoNi
-402.12252203,LiMo2P2O9
-536.86262741,Na3Ti2(GeO4)3
-288.43857177,NaMo3P3O13
-511.1906586,Na3V2(GeO4)3
-212.96696829,H6RuCI3N
-286.49801488,NaMn3P3O13
-293.2197909,LiCr3P3O13
-296.87176379,NaV3P3O13
-36.46692467,ThGe2
-176.50898921,SmCu(WO4)2
-313.88936689,LiTi3P3O13
-505.31478516,Li3Cr2(GeO4)3
-74.69286011,TmNi4B
-193.25879171,U2(Ni7B2)3
-167.62169448,Zn3(Ni10B3)2
-60.2641335,UB2Os3
-31.98101548,Sc3BPb
-29.89964076,TmBPd3
-27.04630572,YbBPd3
-24.07717387,Ca3N2
-39.89838148,VS2
-19.89753471,VS2
-40.5227961,BeGeP2
-21.14783443,Ba3N2
-21.63784751,Sr3N2
-15.11652108,Sr3BiP
-13.79082986,Sr3BiN
-18.02049295,Sr3AsP
-22.33358056,Ba3PN
-14.71670968,Sr3SbN
-16.03396654,Sr3SbP
-17.64795288,Sr3PN
-16.58146915,Sr3AsN
-19.05428529,Ca3PN
-16.05896203,Sr3SbAs
-14.54572601,Ca3BiN
-17.81777252,Ca3AsN
-19.36396734,Ca3SbAs
-19.08068752,Ca3BiAs
-17.25649535,Ca3Sb2
-20.47662678,Ca3P2
-23.95538693,Ca3SbN
-21.59042896,Ba3BiN
-20.48020346,Ca3SbP
-19.27694674,Ba3P2
-19.09129686,Sr3P2
-19.03140481,Sr3AsP
-22.69849139,Sr3PN
-22.40318696,Sr3AsN
-22.02359794,Ba3SbN
-20.14889074,Ca3BiP
-17.98988965,Sr3As2
-18.33281701,Ba3As2
-18.23360091,Sr3SbAs
-18.63163064,Ba3SbAs
-18.43215347,Ba3BiAs
-17.99420718,Sr3BiAs
-155.99370271,Na2CoP2O7
-155.97880754,Na2CoP2O7
-17.03041521,Ba3Sb2
-16.39185794,Sr3Sb2
-16.90150566,Ba3BiSb
-16.23655204,Sr3BiSb
-19.25093844,Ba3AsP
-15.36651297,Sr3Bi2
-19.2264415,Sr3SbP
-155.20936158,Na2CoP2O7
-91.52324366,Ti2ReB2
-20.37309518,Ca3AsP
-18.94747919,Sr3BiP
-19.28072601,Ba3BiP
-55.09795888,UB2Ru3
-15.94379294,Ca3BiP
-15.96527552,Ca3BiAs
-16.2802755,Ca3BiSb
-15.15226056,Sr3BiAs
-15.4983909,Sr3BiSb
-17.85859443,Ba3PN
-15.31131343,Ba3SbN
-16.93362139,Ba3AsN
-14.52767517,Ba3BiN
-18.33656243,Ba3AsP
-16.63099408,Ba3SbP
-15.81318244,Ba3BiP
-16.66815219,Ba3SbAs
-15.85851533,Ba3BiAs
-16.23088358,Ba3BiSb
-80.03995179,Cd4SF6
-64.85294642,Cd5(S2Cl)2
-17.0747306,Ca3BiSb
-22.12121791,Ba3AsN
-16.12591493,Ca3Bi2
-16.12013721,Ba3Bi2
-19.51247032,Ba3SbP
-16.96094122,Ca3SbAs
-544.48934738,Li3Ti2(GeO4)3
-104.75737377,Sn4SF6
-91.61136786,Sn5(S2Cl)2
-435.25442,LiTi2P2O9
-451.61369112,Na3Co2(GeO4)3
-510.56403899,Li3Ge3(MoO6)2
-434.74723636,Li3Ni2(GeO4)3
-501.86479428,Na3Ge3(MoO6)2
-298.80061993,Y(BRu)4
-461.86727714,Li3Co2(GeO4)3
-424.03961566,Na3Ni2(GeO4)3
-259.87459298,NaCo3P3O13
-491.16887654,Na3Mn2(GeO4)3
-400.42023777,NaMo2P2O9
-477.50669631,Li3Fe2(GeO4)3
-412.63747873,LiV2P2O9
-468.79454509,Na3Fe2(GeO4)3
-312.82340665,NaTi3P3O13
-298.01166679,LiV3P3O13
-289.30550784,LiMo3P3O13
-274.64604128,LiFe3P3O13
-32.71530539,Sc3SnB
-36.73213929,TiSCl
-378.97872017,LiFe2P2O9
-156.35649095,Na2CoP2O7
-261.07306451,LiCo3P3O13
-519.41002012,Li3V2(GeO4)3
-287.61706694,LiMn3P3O13
-405.78589782,LiCr2P2O9
-241.69383474,TiSF
-360.9128922,LiCo2P2O9
-336.08170267,LiNi2P2O9
-109.68359257,ZrMn2
-29.82042442,Sc3TlB
-31.55911965,Mn2SiRh
-21.46199946,P
-19.24970882,SmB2
-20.7238843,Ni
-32.08584013,ZrB
-40.30144805,ZrN
-32.11689923,CsPbBr3
-67.67943501,Ta3B4
-92.65233798,Sn5(S2Cl)2
-4.88433863,Si
-18.2064257,C3N
-11.61147912,HfZn
-79.38274185,Zr3ZnN
-59.27579033,Ti2ZnN
-17.52013435,Ti2Zn
-9.54267235,TiZn
-21.70623682,Hf2Zn
-29.9337472,ZrZnN2
-32.06485941,ZrB
-31.84879537,HfZnN2
-87.8423518,Hf3ZnN
-75.5547826,Ti3ZnN
-40.6719879,IrO2
-24.19730222,CrN2
-58.16326378,Zr2N
-27.54381414,C3N
-43.04934844,C3N
-48.80529035,C3N
-68.79718727,C3N
-120.82079389,C3N
-28.45047677,C3N
-13.12963577,TiB
-47.31027164,Cr3N2
-38.08877243,ZrC
-18.7756768,C3N
-18.06752008,C3N
-377.86998314,Cr3N2
-134.23767228,C3N
-182.7973499,C3N
-132.09103032,C3N
-310.53722379,CrN2
-103.79453878,CrN2
-128.70288487,Cr3N4
-127.66479008,Cr3N4
-257.16329465,Cr3N4
-254.3438161,Cr3N4
-50.88711307,CrN2
-256.48900219,Cr3N4
-51.90806156,CrN2
-128.34107497,Cr3N4
-26.55048225,B2W
-188.15482512,Cr3N2
-46.21160727,Cr3N2
-63.06009962,Cr3N4
-13.69674922,Li2YAl
-50.21740313,CrN2
-15.54330693,YbB2
-41.99967329,Cr3N2
-128.35159005,Cr3N4
-622.1662938,CrN2
-6.63102132,InSb
-10.35619154,NaLi2As
-6.8110839,InSb
-101.68113591,CrN2
-104.15329097,CrN2
-310.42637303,CrN2
-219.39869864,ZrMn2
-102.60850645,CrN2
-9.12754725,NaLi2Sn
-252.28585624,Cr3N4
-100.57674497,CrN2
-77.34785703,La(SiIr)2
-22.72835237,MnSbIr
-87.30686506,P2Ir
-100.51327431,CrN2
-101.88974952,CrN2
-75.80362566,CrN2
-1.09632717,K
-881.89685879,CrN2
-21.45796972,AlCo2Si
-7.93150312,LiMg2Al
-21.58160568,AlCo2Si
-8.96456639,K3Sb
-76.88348288,CrN2
-49.00803451,PuGe2
-827.64862552,CrN2
-103.60199191,CrN2
-412.60713157,CrN2
-102.57889937,CrN2
-102.13678203,CrN2
-103.8185429,CrN2
-365.63417667,Cr3N4
-308.73695459,CrN2
-202.89117971,CrN2
-608.53319075,CrN2
-414.18263305,CrN2
-583.61526341,Re2O7
-287.6035241,LiMn2O4
-7.68399484,KZnSb
-62.67235822,HfZn16
-164.14970678,Hf6Zn6N
-116.8580582,TiZnN2
-60.52783686,ZrZn16
-209.01398725,MnHO2
-100.17219074,NaMnO2
-98.724496,KMnO2
-70.66955623,MgMn3O6
-71.27412319,CaMn3O6
-368.06609224,MgMn4O8
-100.39368135,NaMnO2
-352.78149671,KMn8O16
-109.17664004,MgMnO2
-90.06961153,NaMn4O8
-352.6448576,LiMn8O16
-274.84465383,KMn3O6
-35.16578792,MgSiAs2
-57.63375292,La3Si2
-33.21520204,MgGeAs2
-392.90051437,Sn3H6CNO7
-227.11266274,Sn3H8C2NO7
-400.62841623,Bi2H18C3(IN)9
-9.95249342,Mg3Si
-12.93930761,Mg3Zr
-6.3341306,BaMg3
-5.77833516,NaMg3
-13.8644753,Mg3Nb
-8.08245713,Mg3Ga
-6.79321425,LiMg3
-14.29872152,Mg3Mo
-8.76639064,Mg3Cu
-13.27418804,Mg3Cr
-4.84290447,RbMg3
-9.90964849,LaMg3
-11.01680779,Mg3Co
-10.42576467,Mg3Ni
-4.6530098,CsMg3
-8.48120054,Mg3Al
-8.82552211,Mg3Bi
-6.70969294,CaMg3
-9.20930928,Mg3Sb
-5.91580478,Mg3Cd
-9.15366077,Mg3Sn
-14.07818581,HfMg3
-11.29869733,Mg3C
-13.2016301,Mg3Mn
-11.97910131,Mg3Ti
-6.10164167,Mg3Zn
-9.07649096,Mg3B
-14.45461239,Mg7Ga
-12.34749094,Mg7Cd
-10.40181646,CeMg3
-20.34292649,HfMg7
-15.95225719,Mg3W
-11.72162938,Mg3Fe
-15.03220424,Mg7B
-12.64896395,Mg3V
-9.73729653,CsMg7
-18.2948197,Mg7Ti
